31-03-2026 18:34:00 | DELETE | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias11
31-03-2026 18:34:00 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:34:00 | DELETE | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias11
31-03-2026 18:34:00 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:34:01 | DELETE | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias11
31-03-2026 18:34:01 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:34:01 | DELETE | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias11
31-03-2026 18:34:01 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:34:35 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:34:40 | DELETE | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias11
31-03-2026 18:34:40 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:34:42 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:38:33 | DELETE | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias11
31-03-2026 18:38:33 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:39:27 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:39:27 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:39:27 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:39:27 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:39:27 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:39:29 | DELETE | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias/11
31-03-2026 18:39:29 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:39:39 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:39:40 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:39:40 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:39:43 | DELETE | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias/11
31-03-2026 18:39:43 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:40:07 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias/11
31-03-2026 18:40:49 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:40:50 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:40:50 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:40:50 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:40:50 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:40:50 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:42:09 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:42:09 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:42:09 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:42:09 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:42:09 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:42:10 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:42:11 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:42:13 | DELETE | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias/11
31-03-2026 18:42:13 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:42:29 | POST | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:42:29 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:42:31 | DELETE | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias/12
31-03-2026 18:42:31 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:48:06 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:48:12 | POST | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:48:12 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:48:16 | DELETE | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias/13
31-03-2026 18:48:16 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:48:19 | POST | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:48:19 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:48:21 | DELETE | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias/14
31-03-2026 18:48:21 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:53:36 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:53:36 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:53:37 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:56:31 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 18:56:32 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 18:56:37 | POST | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 18:56:37 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 18:58:35 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 18:58:35 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 18:58:35 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 18:58:35 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 18:58:39 | POST | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 18:58:39 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 18:58:45 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:02:44 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:02:44 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:02:44 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:02:44 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:02:45 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:02:45 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:02:45 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:02:45 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:04:39 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:04:40 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:04:40 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:04:40 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:04:40 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:04:40 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:05:44 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:05:44 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:06:10 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:06:16 | POST | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:06:16 | POST | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:06:17 | POST | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:06:17 | POST | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:06:17 | POST | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:06:28 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:06:32 | POST | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:06:38 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:08:15 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:08:17 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 19:08:18 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:09:33 | POST | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:11:19 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:11:56 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:11:58 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:11:58 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:11:58 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:12:00 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:13:39 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:13:39 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:13:40 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:13:40 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:13:40 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:13:50 | POST | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:26:48 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:26:48 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:26:48 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:26:49 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:26:49 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:26:49 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:26:49 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:26:52 | POST | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:26:52 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:26:56 | POST | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:26:56 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:30:09 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:30:09 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:30:10 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:30:16 | POST | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:30:16 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:30:45 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 19:30:47 | DELETE | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias/9
31-03-2026 19:30:47 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 19:30:54 | DELETE | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias/8
